Composite_rank,Team,Team Name,Composite,FPI,nfelo,GPF,unexpected_points,dvoa,PFF,FPI_rank,nfelo_rank,GPF_rank,unexpected_points_rank,dvoa_rank,pff_rank,Std Dev,week
1,KC,Kansas City Chiefs,6.6,7.9,5.8,5.8,7,6.8,6.5,1,1,1,1,2,1,0.8,8
2,DET,Detroit Lions,6,5.5,5.4,5.6,5.7,7.9,5.6,2,2,2,2,1,2,1,8
3,LA,Los Angeles Rams,5.1,4.2,4.6,5.1,5.7,5.8,5.4,4,3,4,3,3,3,0.6,8
4,GB,Green Bay Packers,4.4,4.6,3,5.3,4.7,3.8,5.1,3,7,3,5,7,4,0.9,8
5,BUF,Buffalo Bills,3.9,3,3.2,3.5,4.3,4.3,4.8,7,5,8,6,6,5,0.7,8
6,PHI,Philadelphia Eagles,3.7,4.2,3.4,3.7,4,3.1,3.8,6,4,7,7,9,6,0.4,8
7,IND,Indianapolis Colts,3.6,4.2,1,3.8,5.3,5.2,1.8,5,11,5,4,5,11,1.8,8
8,BAL,Baltimore Ravens,3,2.3,1.5,3.7,3.8,3.5,3,9,9,6,8,8,7,0.9,8
9,SEA,Seattle Seahawks,2.9,1.5,3.2,2.3,2.8,5.5,2.2,12,6,10,9,4,9,1.4,8
10,DEN,Denver Broncos,1.9,2.1,1.1,2.5,2.1,1.2,2.1,10,10,9,11,11,10,0.6,8
11,DAL,Dallas Cowboys,0.9,1.7,0.5,0.1,2,1.9,-0.9,11,13,18,12,10,21,1.2,8
12,TB,Tampa Bay Buccaneers,0.9,1,0.1,0.5,1.5,0.7,1.6,13,15,14,13,13,12,0.6,8
13,SF,San Francisco 49ers,0.9,-0.2,0.9,0.3,1.4,0.1,2.8,20,12,15,14,16,8,1.1,8
14,HOU,Houston Texans,0.7,0.8,1.7,0.2,-0.2,0.6,1.3,16,8,17,20,14,13,0.7,8
15,LAC,Los Angeles Chargers,0.6,1,0.3,1.5,0.5,-0.8,1.2,14,14,11,17,22,14,0.8,8
16,PIT,Pittsburgh Steelers,0.5,0.9,-0.1,0.9,-0.2,1.1,0.5,15,17,12,19,12,16,0.6,8
17,NE,New England Patriots,0.3,0.1,-0.3,0.5,2.8,-0.5,-0.8,18,18,13,10,19,19,1.3,8
18,MIN,Minnesota Vikings,0.2,2.7,-0.8,0.2,-0.7,-1.2,0.9,8,19,16,22,23,15,1.4,8
19,ATL,Atlanta Falcons,-0.4,-1.8,-0.9,-0.3,1.2,-0.6,-0.1,25,20,19,15,20,17,1,8
20,CHI,Chicago Bears,-0.6,-1.1,-1.4,-1.5,0.8,-0.4,-0.1,23,22,21,16,18,18,0.9,8
21,JAX,Jacksonville Jaguars,-0.7,-1.1,-1.3,-0.7,-0.3,0.3,-0.8,24,21,20,21,15,20,0.6,8
22,WAS,Washington Commanders,-1.1,0,0.1,-4,0.2,-0.6,-2,19,16,24,18,21,23,1.7,8
23,ARI,Arizona Cardinals,-1.2,-1,-1.6,-1.6,-1.4,-0.3,-1.3,22,23,22,23,17,22,0.5,8
24,NYG,New York Giants,-2.5,0.3,-4.3,-2.8,-2.3,-2.7,-3,17,26,23,24,25,25,1.5,8
25,CAR,Carolina Panthers,-3.7,-0.9,-4.6,-4.7,-5.1,-4.1,-2.6,21,27,27,27,26,24,1.6,8
26,CIN,Cincinnati Bengals,-4.1,-5.8,-4,-4,-5.6,-1.5,-3.9,28,24,25,28,24,27,1.5,8
27,CLE,Cleveland Browns,-4.7,-6,-4.7,-4.5,-2.7,-5.2,-5.4,29,28,26,25,28,28,1.1,8
28,LV,Las Vegas Raiders,-5.3,-5.5,-4.1,-5.1,-8.7,-5,-3.6,27,25,28,30,27,26,1.8,8
29,MIA,Miami Dolphins,-5.6,-4.8,-6.4,-5.4,-5.8,-5.6,-5.6,26,30,29,29,29,29,0.5,8
30,NO,New Orleans Saints,-6.4,-6.6,-6.9,-5.6,-4.5,-6.1,-8.4,30,31,30,26,31,32,1.3,8
31,NYJ,New York Jets,-7.1,-7.1,-5.6,-7.2,-8.8,-6,-7.9,31,29,31,31,30,31,1.2,8
32,TEN,Tennessee Titans,-8.7,-8.8,-9,-7.9,-9.4,-9.1,-7.9,32,32,32,32,32,30,0.6,8
