overall_pick_number,draft_slot,draft_value
1,1,157.89542096
2,2,155.40324316
3,3,152.91167886
4,4,150.4217362
5,5,147.93485819
6,6,145.45287589999998
7,7,142.9779626
8,8,140.51258948999998
9,9,138.05948264
10,10,135.62158125000002
11,11,133.20199729
12,12,130.8039763
13,12,128.43085967000002
14,11,126.08604801
15,10,123.77296605
16,9,121.49502877
17,8,119.25560891
18,7,117.05800592
19,6,114.90541639
20,5,112.80090594
21,4,110.74738276
22,3,108.74757275
23,2,106.8039964
24,1,104.91894744999999
25,1,103.09447356
26,2,101.33235877999999
27,3,99.63410824
28,4,98.00093493
29,5,96.43374869
30,6,94.93314763000001
31,7,93.49941179
32,8,92.13249937
33,9,90.83204538999999
34,10,89.59736292
35,11,88.42744686
36,12,87.32098028
37,12,86.27634327999999
38,11,85.29162441
39,10,84.36463447
40,9,83.49292274999999
41,8,82.67379549
42,7,81.90433647
43,6,81.18142963
44,5,80.50178341
45,4,79.86195684
46,3,79.25838687
47,2,78.68741697
48,1,78.14532658
49,1,77.62836117
50,2,77.13276272
51,3,76.65480013999999
52,4,76.19079952
53,5,75.73717378
54,6,75.29045151
55,7,74.84730453
56,8,74.40457411
57,9,73.95929539
58,10,73.50871974
59,11,73.05033496
60,12,72.58188286000001
61,12,72.10137421
62,11,71.60710082
63,10,71.09764454
64,9,70.57188318
65,8,70.02899315
66,7,69.46844893
67,6,68.89001924
68,5,68.29375996
69,4,67.68000399
70,3,67.04934802
71,2,66.40263649
72,1,65.74094277
73,1,65.06554803
74,2,64.37791776
75,3,63.67967651
76,4,62.97258094
77,5,62.25849163
78,6,61.53934401
79,7,60.817118719999996
80,8,60.093811764
81,9,59.37140495
82,10,58.651836864
83,11,57.936974825
84,12,57.22858817
85,12,56.528323207
86,11,55.837680171
87,10,55.157992487
88,9,54.490408605
89,8,53.835876655999996
90,7,53.195132123
91,6,52.568688702
92,5,51.956832459
93,4,51.359619381
94,3,50.776876331
95,2,50.208205407
96,1,49.652991646
97,1,49.110413945
98,2,48.579459081
99,3,48.058938601
100,4,47.547508372
101,5,47.043690507
102,6,46.545897352
103,7,46.05245722
104,8,45.561641485
105,9,45.071692657
106,10,44.580853054
107,11,44.087393641
108,12,43.589642632
109,12,43.086013435
110,11,42.575031544
111,10,42.055359977
112,9,41.525822872999996
113,8,40.985426928
114,7,40.433380299999996
115,6,39.86910876
116,5,39.29226871
117,4,38.70275708
118,3,38.10071765
119,2,37.48654392
120,1,36.86087833
121,1,36.22460789
122,2,35.578856099999996
123,3,34.92497147
124,4,34.26451258
125,5,33.59922994
126,6,32.93104488
127,7,32.262025730000005
128,8,31.5943616
129,9,30.9303341
130,10,30.27228738
131,11,29.6225969
132,12,28.9836374
133,12,28.35775038
134,11,27.7472117
135,10,27.15419961
136,9,26.58076376
137,8,26.02879556
138,7,25.50000038
139,6,24.99587188
140,5,24.51766894
141,4,24.06639552
142,3,23.64278365
143,2,23.24727998
144,1,22.88003591
145,1,22.54090159
146,2,22.22942387
147,3,21.94484821
148,4,21.68612467
149,5,21.451917729999998
150,6,21.24062003
151,7,21.05036977
152,8,20.87907152
153,9,20.7244203
154,10,20.58392852
155,11,20.45495542
156,12,20.33473876
157,12,20.22042814
158,11,20.10911974
159,10,19.99789181
160,9,19.88384056
161,8,19.7641159
162,7,19.63595669
163,6,19.49672472
164,5,19.34393737
165,4,19.17529814
166,3,18.98872485
167,2,18.78237506
168,1,18.554668319999998
169,1,18.304305040000003
170,2,18.03028164
171,3,17.73190176
172,4,17.4087835
173,5,17.06086241
174,6,16.68839029
175,7,16.291929850000002
176,8,15.872345189999997
177,9,15.430788290000002
178,10,14.968681750000002
179,11,14.487697869999998
180,12,13.989734499999997
181,12,13.476887920000003
182,11,12.951423159999997
183,10,12.415742119999997
184,9,11.872349989999996
185,8,11.323820410000003
186,7,10.77275986
187,6,10.22177181
188,5,9.673421070000003
189,4,9.130198929999999
190,3,8.594489520000003
191,2,8.06853795
192,1,7.5544206399999965
193,1,7.054018220000003
194,2,6.568991650000001
195,3,6.10076162
196,4,5.650491780000003
197,5,5.21907607
198,6,4.807130219999998
199,7,4.4149879
200,8,4.0427013500000015
201,9,3.690046840000001
202,10,3.356534830000001
203,11,3.04142487
204,12,2.7437451799999977
205,12,2.462316829999999
206,11,2.195782289999997
207,10,1.9426382099999984
208,9,1.70127222
209,8,1.4700034800000026
210,7,1.247126729999998
211,6,1.030959430000003
212,5,0.8198920099999967
213,4,0.6124405300000006
214,3,0.40730187999999856
215,2,0.20341100000000267
216,1,0
